1.08E+18,0,antitrump,a new year and dc is still broken and a ton of trump lies to be spoken but his days now are short pending report and a nation enraged is awoken trump impeach bluewave antitrump corruption
1.08E+18,1,antitrump,wow finally a wall i can support respect feminism news womenswall2019 change newyears2019 antitrump
1.08E+18,1,antitrump,little doubt that romney can still screw this up but his appeal is to the and independents so going in knowing that the hallowed trump base in his camp it should give him a lot of freedom to stake out favorable antitrump positions antitrump 
1.08E+18,1,antitrump,and hopefully for america romney antitrump subversion sedition in the senate will be as successful as his failed presidential ambitions potus makingamericagreatagain 
1.08E+18,1,antitrump,i wouldnt say nowhere he must be doing someone a favor by this or he simply wouldnt bother who doesnt get that this antitrump antiamerican behavior has communism written all over it all traitors will be dealt with according to their crimes enforceourlaws 
1.08E+18,1,antitrump,hope mitt becomes the voice of antitrump republicans of which there are few based on his history however i have my doubts antitrump resist trumpshutdown2019 
1.08E+18,1,antitrump,are we great again yet order here antitrump 
1.08E+18,1,antitrump,kanyewest just because people are antitrump does not mean they are antirepublican or democrats stop trying ro equate the two 
1.08E+18,0,antitrump,want to say fucktrump in public weve got you covered drumpf fucktrump donaldtrump antitrump 
1.08E+18,1,antitrump,since nobody seems to have seen my trump cartoons i will now retweet them starting with this one from resist resisttrump antitrump resistance trump notmypresident putinspuppet 
1.08E+18,1,antitrump,european success years on has the euro been a success yes it has of all europeans say and we need to improve and further build and grow oureuropean heritage together leaders antiputin antitrump antibrexit europe e 
1.08E+18,1,antitrump,but please think that not genuinely antitrump just because an old white guy antitrump 
1.08E+18,0,antitrump,to hell with mitt romney another has been politician with backward thinking and antique policies america needs younger more progressive politicians not these old white men with thinking antitrump dumptrump 
1.08E+18,0,antitrump,one mormon for another promoting the proillegal and antitrump policies dictated by the mormonfirstpresidency mormonorg has signaled against realdonaldtrump prior to the election 
1.08E+18,0,antitrump,shes joined the antitrump mormon brigade anncoulter is a total bore 
1.08E+18,1,antitrump,and now about to perform in a year role in the senate as the despicable antitrump willard jefflake johnmccain on steroids heaven help us 
1.08E+18,1,antitrump,senflake sencorker senmccain are gone but now we must endure yet another antitrumper senromney who was summarily defeated by obama voters want break frm senators antitrump agenda nonsense would appreciate u giving it a rest politicsromneysaystrumpcausesdismayaroundtheworld.html 
1.08E+18,1,antitrump,i met you mittromney ive never had such respect for someone hoped youd be the perfect candidate while your statement gives me hope that youll be the antitrump your past actions make me doubt youll come through stand up be the hero here do this im behind you 
1.08E+18,0,antitrump,wow so brave and noble mittromney the quintessential antitrump moron reminds us all that his head is still too stuckup his ass to understand a why we need realdonaldtrump b why we love him c why he himself will never get anything more than a purchased senate seat 
1.08E+18,0,antitrump,you do realize that you sound like a drunk repeating the same thing over and over and over and over and over antitrump liar resist 
1.08E+18,0,antitrump,anti trump tshirt get here antitrump 
1.08E+18,1,antitrump,social justice and the beat goes on antitrump prohumanity newyear johnpavlovitz central indianapolis indianapolis indiana 
1.08E+18,1,antitrump,we can do better than resist antitrump democrats 
1.08E+18,0,antitrump,we hate trump tuck frump get here antitrump 
1.08E+18,1,antitrump,been antitrump since he came down the escalator but not had a successful fbrparty yet so giving it one last try follow anyone who likes comments rts and hates trump you should too resistance fbr bluewave 
1.08E+18,0,antitrump,new year same mitch ass president realdonaldtrump when are your going to go through puberty antitrump trumpresign resist resigntrump 
1.08E+18,0,antitrump,gop have really embraced the saying you cant beat them join rip republican party now known as the trumpparty led by vladimirputin enough bluewave2020 fbrparty demforce antitrump democrats resister followbackresistance indicttrump nowall 
1.04E+18,0,bharatbandh,incindia congress jab power mee thi tab bhar bhar kr desh ko petroleum ke loan me dubaya ab loan bharne ki baari hai aur musibat modi sarkar pe hai toh rahulgandhi ji petrol ke daam par bharatbandh kar rahe hai wah ulta chor kotwal ko daate
1.04E+18,1,bharatbandh,bharatbandh couldnt help abki baar petrol ke paar
1.04E+18,0,bharatbandh,bharat bandh is a exercise for congress bharatbandh
1.04E+18,0,bharatbandh,bandhmuktbharat bharatbandh nashamukti garibimukt mukti bjpnationalexecutivemeet bjpnationalexecutive demonetization atankwadmuktbharat congressmuktbharat jativad rss urbannaxals tkthomas pennewsopinion
1.04E+18,0,bharatbandh,dont understand the duplicity of yadavakhilesh for being against rahulgandhi on bharatbandh you defending his evilsins evillies on media begani shadi mai abdullah devana why sp other political parties are burning their fingers for mahachorcong incindia k_t_l
1.04E+18,0,bharatbandh,cp rahulgandhi caught modi govt off guard on rising petrol prices with bharatbandh hindidiwas
1.04E+18,1,bharatbandh,not just fuel even day to day essentials are skyrocketing mehangipadimodisarkar bharatbandh hindidiwas
1.04E+18,1,bharatbandh,over pharmacists across tamil nadu to join bharatbandh called by all india organisation of chemists and druggists on september to protest against the central government policy of allowing online sale of medicines
1.04E+18,0,bharatbandh,whenever something fishy happens infact done by the corrupt illminded politicians they would want to distract u frm the real issues like rafaeldeal unemployment moblynching communalism scams dictatorship n all the barkings done in the name of debate bharatbandh
1.04E+18,0,bharatbandh,the disgraced incindia party its pappu who organised a bharatbandh a few days back to against high pol prices forgot to tell the nation that the bjp4india govt was burdened with the subsidy of lakh crores left unpaid by upa govt hypocrites
